instance,best_OF,best_SOL
TSP_05_001.csv,2.1556714736878737,"[4, 3, 0, 2, 1]"
TSP_05_002.csv,2.30903843771977,"[3, 1, 4, 2, 0]"
TSP_05_003.csv,2.161491213934843,"[2, 0, 1, 3, 4]"
TSP_05_004.csv,2.5249438853630033,"[0, 1, 4, 2, 3]"
TSP_05_005.csv,3.189927760339611,"[2, 3, 4, 0, 1]"
TSP_10_001.csv,3.0881144591818783,"[7, 6, 8, 9, 4, 1, 2, 5, 0, 3]"
TSP_10_002.csv,3.9746013144997927,"[4, 1, 9, 5, 7, 8, 2, 0, 6, 3]"
TSP_10_003.csv,3.3921726096896414,"[0, 6, 9, 1, 5, 3, 7, 2, 8, 4]"
TSP_10_004.csv,3.9423573912055163,"[5, 3, 2, 1, 0, 4, 7, 8, 6, 9]"
TSP_10_005.csv,3.5214166458928235,"[8, 4, 1, 6, 2, 3, 5, 7, 0, 9]"
TSP_50_001.csv,22.531552622375536,"[7, 38, 1, 48, 47, 34, 21, 3, 49, 36, 33, 22, 44, 12, 27, 26, 30, 45, 46, 28, 15, 23, 35, 8, 29, 10, 6, 42, 43, 4, 5, 0, 41, 40, 9, 25, 32, 18, 24, 19, 11, 39, 17, 31, 16, 2, 14, 37, 20, 13]"
TSP_50_002.csv,21.579598049035667,"[19, 43, 32, 29, 28, 36, 0, 38, 33, 44, 45, 6, 27, 20, 41, 2, 13, 18, 21, 46, 23, 12, 7, 31, 15, 34, 26, 30, 42, 22, 3, 5, 10, 37, 11, 35, 40, 47, 25, 39, 48, 8, 24, 49, 16, 1, 4, 17, 9, 14]"
TSP_50_003.csv,21.234510234105358,"[25, 45, 31, 14, 24, 42, 48, 3, 27, 36, 23, 7, 33, 0, 5, 37, 18, 30, 21, 46, 26, 35, 9, 40, 43, 17, 16, 1, 39, 6, 2, 12, 38, 44, 11, 41, 29, 32, 8, 10, 15, 19, 34, 49, 28, 22, 13, 47, 20, 4]"
TSP_50_004.csv,19.516126345792934,"[41, 29, 6, 15, 36, 30, 27, 1, 32, 9, 28, 4, 0, 8, 5, 26, 39, 47, 45, 49, 44, 33, 3, 35, 38, 13, 19, 12, 2, 43, 23, 16, 7, 31, 11, 10, 46, 40, 22, 18, 42, 48, 25, 17, 14, 34, 24, 20, 21, 37]"
TSP_50_005.csv,21.70656792452882,"[31, 1, 34, 36, 28, 45, 18, 42, 32, 0, 49, 27, 24, 41, 3, 44, 7, 15, 2, 4, 16, 48, 5, 39, 38, 33, 25, 46, 47, 23, 10, 8, 12, 19, 40, 29, 35, 17, 26, 21, 14, 43, 9, 6, 13, 37, 11, 30, 20, 22]"
